Frame,X_Center,Y_Center,Force_Intensity
0,999,723,358945.148
1,999,723,357874.071
2,999,723,354848.465
3,999,723,352598.462
4,999,723,354380.19
5,999,723,353633.225
6,999,723,352422.357
7,999,723,349307.349
8,999,723,346765.351
9,999,723,346024.236
10,999,723,345477.033
11,999,723,344499.813
12,999,723,343642.218
13,999,723,342826.592
14,999,723,342486.432
15,999,723,342104.079
16,999,723,341874.223
17,999,723,341170.411
18,999,723,340376.766
19,999,723,338625.524
20,999,723,339461.135
21,999,723,340659.085
22,999,723,341203.201
23,999,723,341299.458
24,999,723,341769.72
25,999,723,341621.027
26,999,723,341472.226
27,999,723,340830.675
28,999,723,340636.864
29,999,723,340149.843
30,999,723,339917.029
31,999,723,339987.985
32,999,723,339610.807
33,999,723,339817.925
34,999,723,340265.11
35,999,723,340353.818
36,999,723,340444.714
37,999,723,340176.774
38,999,723,340169.657
39,999,723,339669.711
40,999,723,339733.157
41,999,723,339692.879
42,999,723,340010.35
43,999,723,339936.385
44,999,723,339605.227
45,999,723,339478.607
46,999,723,339353.496
47,999,723,339065.387
48,999,723,339274.124
49,999,723,338988.695
50,999,723,338701.688
51,999,723,338068.948
52,999,723,337527.46
53,999,723,333893.547
54,999,723,330176.336
55,999,723,326714.177
56,999,723,323476.8
57,999,723,306664.163
58,999,723,307068.495
59,999,723,306860.897
60,999,723,301526.483
61,999,723,298617.589
62,999,723,297550.417
63,999,723,296122.137
64,999,723,295849.757
65,999,723,293413.968
66,999,723,291247.417
67,999,723,293057.681
68,999,723,295121.394
69,999,723,295715.727
70,999,723,296989.025
71,999,723,296357.738
72,999,723,294535.291
73,999,723,294587.571
74,999,723,298515.281
75,999,723,301055.547
76,999,723,305658.1
77,999,723,314252.711
78,999,723,321786.172
79,999,723,328789.536
80,999,723,328996.708
81,999,723,330213.375
82,999,723,331524.32
83,999,723,332284.998
84,999,723,333272.119
85,999,723,333768.007
86,999,723,333542.87
87,999,723,334854.362
88,999,723,337573.666
89,999,723,335593.012
90,999,723,334780.081
91,999,723,333151.103
92,999,723,333072.373
93,999,723,332686.531
94,999,723,332562.684
95,999,723,333109.091
96,999,723,333644.322
97,999,723,334488.671
98,999,723,333275.933
99,999,723,331401.887
100,999,723,323390.094
101,999,723,317687.619
102,999,723,314432.939
103,999,723,310468.79
104,999,723,306055.83
105,999,723,300692.286
106,999,723,300457.726
107,999,723,308199.557
108,999,723,313259.779
109,999,723,313294.698
110,999,723,316190.025
111,999,723,318264.123
112,999,723,320050.307
113,999,723,323392.564
114,999,723,325926.796
115,999,723,327275.243
116,999,723,329885.857
117,999,723,329669.779
118,999,723,327938.22
119,999,723,325056.783
120,999,723,324012.595
121,999,723,323243.871
122,999,723,321282.945
123,999,723,320623.428
124,999,723,317854.296
125,999,723,315369.065
126,999,723,311981.133
127,999,723,307734.72
128,999,723,306361.186
129,999,723,308354.17
130,999,723,314218.778
131,999,723,318880.511
132,999,723,318317.457
133,999,723,312665.358
134,999,723,309087.416
135,999,723,307657.371
136,999,723,307724.656
137,999,723,308927.048
138,999,723,309087.17
139,999,723,308239.547
140,999,723,308265.732
141,999,723,310940.31
142,999,723,311965.445
143,999,723,311199.186
144,999,723,309424.984
145,999,723,307410.148
146,999,723,305191.609
147,999,723,300171.885
148,999,723,298141.201
149,999,723,306609.488
150,999,723,322268.62
151,999,723,337498.473
152,999,723,339211.986
153,999,723,341152.524
154,999,723,341277.75
155,999,723,338980.765
156,999,723,336100.832
157,999,723,332116.584
158,999,723,324508.227
159,999,723,317833.216
160,999,723,318260.642
161,999,723,319453.243
162,999,723,320949.004
163,999,723,324399.503
164,999,723,325588.469
165,999,723,321856.337
166,999,723,312699.98
167,999,723,303744.234
168,999,723,298651.357
169,998,723,293583.865
170,999,723,289784.927
171,999,723,288289.845
172,999,723,292024.176
173,999,723,295945.628
174,999,723,300495.218
175,999,723,301561.341
176,999,723,303665.624
177,999,723,303703.233
178,999,723,308944.904
179,999,723,315263.223
180,999,723,319228.708
181,999,723,320458.274
182,999,723,321052.641
183,999,723,321688.089
184,999,723,320037.443
185,999,723,318886.038
186,999,723,318957.944
187,999,723,319607.397
188,999,723,319206.493
189,999,723,317545.792
190,999,723,312876.138
191,999,723,304807.273
192,999,723,294443.554
193,999,723,287270.834
194,998,723,290692.007
195,998,723,296991.564
196,998,722,302310.746
197,998,723,311043.354
198,999,723,319286.447
199,999,723,322263.194
200,999,723,324212.19
201,999,723,327343.591
202,999,723,327412.589
203,999,723,327329.078
204,999,723,329856.908
205,999,723,331309.475
206,999,723,331688.354
207,999,723,330977.885
208,999,723,329955.383
209,999,723,329058.093
210,999,723,324435.124
211,999,723,323297.972
212,999,723,322513.785
213,999,723,323445.806
214,999,723,321668.976
215,999,723,318942.113
216,999,723,318580.681
217,999,723,317128.34
218,999,723,314354.215
219,999,723,314056.847
220,999,723,313435.194
221,999,723,312126.98
222,999,723,310378.839
223,999,723,312704.987
224,999,723,314943.42
225,999,723,316560.21
226,999,723,317266.484
227,999,723,319752.755
228,999,723,321408.954
229,999,723,321928.354
230,999,723,322458.773
231,999,723,322065.354
232,999,723,320936.417
233,999,723,320744.934
234,999,723,319577.043
235,999,723,317633.285
236,999,723,313319.026
237,999,723,310437.366
238,999,723,308277.43
239,999,723,305548.021
240,999,723,303759.937
241,999,723,310595.292
242,999,723,316338.041
243,999,723,316357.698
244,999,723,318335.399
245,999,723,320194.826
246,999,723,322178.531
247,999,723,322899.88
248,999,723,324377.137
249,999,723,325929.827
250,999,723,326559.541
251,999,723,326253.386
252,999,723,326366.577
253,999,723,326603.695
254,999,723,325228.725
255,999,723,323871.631
256,999,723,323778.552
257,999,723,325336.119
258,999,723,324885.004
259,999,723,323884.846
260,999,723,324760.733
261,999,723,323622.292
262,999,723,319494.129
263,999,723,316411.166
264,999,723,315497.211
265,999,723,315511.45
266,999,723,317260.063
267,999,723,318202.072
268,999,723,314210.287
269,999,723,314814.119
270,999,723,320290.872
271,999,723,323323.277
272,999,723,324910.408
273,999,723,325511.16
274,999,723,324325.42
275,999,723,322068.607
276,999,723,318215.889
277,999,723,316345.872
278,999,723,316537.991
279,999,723,315606.926
280,999,723,313423.517
281,999,723,313147.105
282,999,723,313396.94
283,999,723,309499.681
284,999,723,303809.183
285,999,723,300212.421
286,999,723,293906.641
287,999,723,295925.985
288,999,723,298879.304
289,999,723,297454.413
290,999,723,306006.927
291,999,723,311874.99
292,999,723,316713.204
293,999,723,320898.761
294,999,723,323619.325
295,999,723,321218.767
296,999,723,321019.477
297,999,723,323483.359
298,999,723,323218.729
299,999,723,324974.818
300,999,723,326913.562
301,999,723,330080.241
302,999,723,330117.67
303,999,723,323377.544
304,999,723,316856.866
305,999,723,311025.236
306,999,723,309219.951
307,999,723,307319.083
308,999,723,307043.356
309,999,723,304458.533
310,999,723,302308.202
311,999,723,304121.611
312,999,723,307901.113
313,999,723,311111.821
314,999,723,311996.312
315,999,723,309987.246
316,999,723,307867.313
317,999,723,307920.412
318,999,723,308016.375
319,999,723,308952.946
320,999,723,307000.28
321,999,723,304734.803
322,999,723,300105.214
323,999,723,294681.977
324,999,723,297708.538
325,999,723,302946.118
