Frame,X_Center,Y_Center,Force_Intensity
0,246,173,17334.303
1,246,173,17346.437
2,246,173,17346.702
3,246,173,17344.993
4,246,173,17333.573
5,246,173,17344.502
6,246,173,17343.11
7,246,173,17343.313
8,246,173,17336.755
9,246,173,17338.274
10,246,173,17337.955
11,246,173,17337.585
12,246,173,17338.247
13,246,173,17337.492
14,246,173,17337.662
15,246,173,17337.686
16,246,173,17337.444
17,246,173,17338.084
18,246,173,17337.853
19,246,173,17338.209
20,246,173,17337.521
21,246,173,17337.306
22,246,173,17337.299
23,246,173,17337.302
24,246,173,17337.494
25,246,173,17337.996
26,246,173,17337.986
27,246,173,17338.003
28,246,173,17338.032
29,246,173,17338.295
30,246,173,17338.283
31,246,173,17338.295
32,246,173,17338.117
33,246,173,17339.451
34,246,173,17339.076
35,246,173,17339.114
36,245,172,17316.322
37,245,172,17329.703
38,245,172,17314.332
39,245,172,17316.224
40,245,172,17310.214
41,245,172,17311.312
42,245,172,17310.416
43,245,172,17310.807
44,245,172,17313.964
45,245,172,17308.17
46,245,172,17308.664
47,246,172,17323.216
48,247,172,17321.996
49,247,172,17315.149
50,247,172,17296.963
51,247,172,17316.66
52,247,172,17305.796
53,247,172,17311.206
54,248,172,17237.229
55,248,172,17256.507
56,248,172,17246.703
57,248,172,17247.289
58,248,172,17226.091
59,248,172,17240.541
60,248,172,17221.893
61,248,172,17224.001
62,248,172,17224.874
63,248,172,17254.201
64,248,172,17257.85
65,248,172,17257.271
66,248,172,17243.227
67,248,172,17263.936
68,247,172,17281.526
69,247,172,17286.372
70,247,172,17288.486
71,247,172,17321.584
72,247,172,17324.129
73,247,172,17327.791
74,247,172,17321.828
75,247,172,17336.822
76,247,172,17320.533
77,246,173,17356.991
78,245,173,17409.614
79,245,173,17414.055
80,244,173,17416.197
81,244,173,17427.162
82,243,173,17465.328
83,243,173,17466.306
84,242,173,17424.549
85,242,173,17449.388
86,242,173,17445.423
87,242,173,17438.754
88,242,173,17394.237
89,242,173,17420.536
90,242,173,17403.046
91,242,173,17387.356
92,242,173,17391.22
93,242,173,17412.781
94,242,173,17428.482
95,242,173,17434.392
96,242,173,17416.395
97,242,173,17431.878
98,242,173,17415.1
99,242,173,17419.889
100,242,172,17390.381
101,242,173,17404.846
102,242,173,17409.86
103,242,173,17408.824
104,241,173,17379.115
105,241,173,17428.941
106,241,173,17441.731
107,240,173,17447.566
108,240,173,17396.697
109,240,173,17437.728
110,240,173,17464.221
111,240,173,17489.607
112,240,173,17467.746
113,240,173,17476.604
114,241,173,17462.083
115,241,173,17471.537
116,242,173,17458.553
117,242,173,17449.999
118,243,173,17384.493
119,243,173,17387.59
120,245,172,17332.859
121,245,172,17346.785
122,245,172,17370.442
123,245,172,17380.535
124,246,173,17342.463
125,246,173,17350.624
126,246,173,17355.999
127,246,173,17340.89
128,246,173,17298.367
129,246,173,17331.831
130,246,173,17299.55
131,247,173,17299.912
132,247,173,17225.559
133,247,173,17229.599
134,248,173,17211.783
135,248,173,17214.174
136,248,173,17166.911
137,248,173,17161.741
138,248,173,17156.375
139,248,173,17170.996
140,248,173,17145.079
141,248,173,17148.781
142,248,173,17154.926
143,248,173,17152.942
144,248,173,17152.075
145,248,173,17171.518
146,248,173,17213.138
147,248,173,17207.751
148,247,173,17193.312
149,248,173,17230.869
150,248,173,17236.957
151,248,173,17235.225
152,248,173,17222.31
153,248,173,17224.115
154,248,173,17268.276
155,248,173,17267.022
156,248,173,17268.419
157,248,173,17262.669
158,247,173,17234.098
159,247,173,17231.448
160,247,173,17202.501
161,247,173,17200.179
162,247,173,17206.081
163,247,173,17204.671
164,247,173,17183.314
165,248,173,17175.55
166,248,173,17183.993
167,248,173,17178.453
168,248,173,17181.289
169,248,173,17177.108
170,248,173,17171.344
171,248,173,17180.107
172,248,173,17170.961
173,248,173,17164.186
174,247,173,17160.515
175,247,173,17153.883
176,247,173,17145.597
177,247,173,17137.203
178,247,173,17147.859
179,247,173,17142.789
180,246,173,17145.283
181,246,173,17139.537
