Frame,X_Center,Y_Center,Force_Intensity
0,245,182,17334.303
1,245,182,17346.437
2,245,182,17346.702
3,245,182,17344.993
4,245,182,17333.573
5,245,182,17344.502
6,245,182,17343.11
7,245,182,17343.313
8,245,182,17336.755
9,245,182,17338.274
10,245,182,17337.955
11,245,182,17337.585
12,245,182,17338.247
13,245,182,17337.492
14,245,182,17337.662
15,245,182,17337.686
16,245,182,17337.444
17,245,182,17338.084
18,245,182,17337.853
19,245,182,17338.209
20,245,182,17337.521
21,245,182,17337.306
22,245,182,17337.299
23,245,182,17337.302
24,245,182,17337.494
25,245,182,17337.996
26,245,182,17337.986
27,245,182,17338.003
28,245,182,17338.032
29,245,182,17338.295
30,245,182,17338.283
31,245,182,17338.295
32,245,182,17338.117
33,245,182,17339.451
34,245,182,17339.076
35,245,182,17339.114
36,245,182,17316.322
37,245,182,17329.703
38,245,182,17314.332
39,245,182,17316.224
40,245,182,17310.214
41,245,182,17311.312
42,245,182,17310.416
43,245,182,17310.807
44,245,182,17313.964
45,245,182,17308.17
46,245,182,17308.664
47,245,182,17323.216
48,245,182,17321.996
49,245,182,17315.149
50,245,182,17296.963
51,245,182,17316.66
52,245,182,17305.796
53,245,182,17311.206
54,245,182,17237.229
55,245,182,17256.507
56,245,183,17246.703
57,245,183,17247.289
58,245,183,17226.091
59,245,182,17240.541
60,245,182,17221.893
61,245,182,17224.001
62,245,182,17224.874
63,245,182,17254.201
64,245,183,17257.85
65,245,183,17257.271
66,245,183,17243.227
67,245,182,17263.936
68,245,183,17281.526
69,245,183,17286.372
70,245,183,17288.486
71,245,183,17321.584
72,245,183,17324.129
73,245,183,17327.791
74,245,183,17321.828
75,245,183,17336.822
76,246,183,17320.533
77,245,183,17356.991
78,245,182,17409.614
79,245,182,17414.055
80,245,182,17416.197
81,244,182,17427.162
82,244,182,17465.328
83,244,182,17466.306
84,244,182,17424.549
85,244,182,17449.388
86,244,182,17445.423
87,244,182,17438.754
88,244,182,17394.237
89,244,182,17420.536
90,244,182,17403.046
91,244,182,17387.356
92,244,182,17391.22
93,244,182,17412.781
94,244,182,17428.482
95,244,182,17434.392
96,244,182,17416.395
97,243,182,17431.878
98,244,182,17415.1
99,244,182,17419.889
100,244,182,17390.381
101,243,182,17404.846
102,243,182,17409.86
103,243,182,17408.824
104,243,182,17379.115
105,243,182,17428.941
106,243,182,17441.731
107,243,182,17447.566
108,243,182,17396.697
109,243,182,17437.728
110,242,182,17464.221
111,242,182,17489.607
112,242,182,17467.746
113,242,182,17476.604
114,241,181,17462.083
115,241,181,17471.537
116,242,181,17458.553
117,241,181,17449.999
118,241,181,17384.493
119,242,181,17387.59
120,243,182,17332.859
121,243,182,17346.785
122,244,183,17370.442
123,244,183,17380.535
124,245,183,17342.463
125,245,183,17350.624
126,245,183,17355.999
127,245,183,17340.89
128,245,183,17298.367
129,245,183,17331.831
130,245,183,17299.55
131,245,183,17299.912
132,245,183,17225.559
133,246,183,17229.599
134,246,183,17211.783
135,246,183,17214.174
136,246,183,17166.911
137,246,183,17161.741
138,246,183,17156.375
139,246,183,17170.996
140,246,183,17145.079
141,246,183,17148.781
142,246,183,17154.926
143,246,183,17152.942
144,246,183,17152.075
145,246,183,17171.518
146,246,183,17213.138
147,246,183,17207.751
148,246,183,17193.312
149,246,183,17230.869
150,246,183,17236.957
151,246,183,17235.225
152,246,183,17222.31
153,246,183,17224.115
154,246,183,17268.276
155,246,183,17267.022
156,246,183,17268.419
157,246,183,17262.669
158,246,183,17234.098
159,246,183,17231.448
160,246,183,17202.501
161,246,183,17200.179
162,246,183,17206.081
163,246,183,17204.671
164,246,183,17183.314
165,246,183,17175.55
166,246,183,17183.993
167,246,183,17178.453
168,246,183,17181.289
169,246,183,17177.108
170,246,183,17171.344
171,246,183,17180.107
172,246,183,17170.961
173,246,183,17164.186
174,246,183,17160.515
175,246,183,17153.883
176,246,183,17145.597
177,246,183,17137.203
178,246,183,17147.859
179,246,183,17142.789
180,246,182,17145.283
181,246,182,17139.537
182,246,182,17179.409
183,246,182,17171.91
184,246,182,17169.129
185,246,182,17171.074
186,245,182,17253.025
187,245,182,17258.072
188,245,182,17306.016
189,245,182,17303.472
190,245,182,17342.184
191,245,182,17345.437
192,245,182,17366.135
193,245,182,17351.465
194,245,182,17386.732
195,245,182,17378.353
196,245,182,17353.703
197,245,182,17354.449
198,245,182,17343.108
199,245,182,17340.509
200,245,182,17345.471
201,245,182,17337.398
202,245,182,17393.939
203,245,182,17394.014
204,244,182,17401.352
205,244,182,17398.929
206,244,182,17509.851
207,244,182,17510.878
208,244,182,17530.054
209,244,182,17519.05
210,244,182,17619.489
211,244,182,17616.744
212,243,182,17643.008
213,243,182,17631.809
214,243,182,17710.371
215,243,182,17714.425
216,243,182,17734.647
217,243,182,17729.866
218,243,181,17814.139
219,243,181,17816.467
220,243,181,17817.099
221,243,182,17812.37
222,242,181,17900.487
223,242,181,17901.361
224,242,181,17910.928
225,242,181,17911.271
226,242,181,17963.543
227,242,181,17965.526
228,242,181,17934.552
229,242,181,17928.593
230,242,181,17897.501
231,242,181,17893.338
232,242,181,17885.022
233,242,181,17868.755
234,242,181,17870.695
235,242,181,17868.263
236,242,181,17856.42
237,242,181,17851.275
238,242,181,17851.462
239,242,181,17857.498
240,242,181,17854.233
241,241,181,17835.17
242,241,181,17881.222
243,241,181,17883.978
244,241,181,17877.352
245,241,181,17875.508
246,241,181,17896.075
247,241,181,17879.558
248,241,181,17843.144
249,241,181,17832.552
250,241,181,17805.317
251,241,181,17805.475
252,242,182,17661.568
253,242,182,17667.477
254,243,182,17600.613
255,243,182,17596.675
256,243,182,17504.213
257,243,182,17497.723
258,243,182,17409.339
259,243,182,17410.771
260,244,182,17288.456
261,244,182,17288.731
262,244,182,17196.199
263,244,182,17199.146
264,244,182,17055.984
265,244,182,17050.21
266,244,182,16955.733
267,244,182,16948.959
268,245,182,16823.661
269,245,182,16816.435
270,246,183,16788.643
271,246,183,16786.532
272,246,183,16773.414
273,246,183,16769.849
274,246,183,16787.78
275,246,183,16785.662
276,246,183,16785.242
277,246,183,16784.812
278,246,183,16767.103
279,246,183,16764.885
280,246,183,16764.128
281,246,183,16756.497
282,246,183,16770.812
283,246,183,16769.049
284,246,183,16764.853
285,246,183,16756.474
286,246,183,16780.591
287,246,183,16779.225
288,246,183,16778.48
289,246,183,16768.809
290,246,183,16795.141
291,246,183,16787.996
292,246,183,16796.819
293,246,183,16794.046
294,246,183,16798.127
295,246,183,16788.906
296,246,183,16793.793
297,246,183,16788.905
298,246,183,16780.456
299,246,183,16778.669
300,246,183,16780.135
301,246,183,16774.874
302,246,183,16767.686
303,246,183,16764.84
304,246,183,16759.731
305,246,183,16759.847
306,246,183,16793.552
307,246,183,16789.285
308,246,183,16798.721
309,246,183,16793.379
310,246,183,16796.814
311,246,183,16794.371
312,245,182,17460.79
313,245,182,17460.576
314,245,182,17501.696
315,245,182,17496.078
316,245,182,17500.63
317,245,182,17499.278
318,245,182,17534.525
319,245,182,17540.045
320,245,182,17531.004
321,245,182,17527.853
322,245,182,17559.756
323,245,182,17558.701
324,245,182,17560.474
325,245,182,17562.219
326,245,182,17583.63
327,245,182,17586.595
328,245,182,17582.634
329,245,182,17580.952
330,245,182,17602.882
331,245,182,17601.129
332,245,182,17600.601
333,245,182,17603.652
334,245,182,17607.242
335,245,182,17607.381
336,245,182,17610.858
337,245,182,17607.18
338,245,182,17612.609
339,245,182,17613.745
340,245,182,17612.308
341,245,182,17612.533
342,245,182,17620.398
343,245,182,17616.449
344,245,182,17615.142
345,245,182,17606.824
346,245,182,17608.515
347,244,182,17610.939
348,245,182,17588.373
349,245,182,17577.855
350,244,182,17592.428
351,244,182,17593.938
352,244,182,17592.577
353,244,182,17592.415
354,244,182,17615.259
355,244,182,17618.924
356,244,182,17617.797
357,244,182,17619.251
358,245,182,17635.754
359,245,182,17634.208
360,245,182,17730.618
361,245,182,17738.794
362,245,182,17807.267
363,245,182,17805.097
364,245,182,17826.703
365,245,182,17828.27
366,244,182,17887.741
367,245,182,17891.221
368,244,182,17902.82
369,244,182,17907.006
370,244,182,17973.027
371,244,182,17971.04
372,244,182,17987.351
373,244,182,17977.819
374,243,182,18086.899
375,243,182,18083.393
376,243,182,18104.291
377,243,182,18107.834
378,243,181,18171.942
379,243,181,18164.681
380,243,181,18171.041
381,243,181,18171.278
382,242,181,18244.366
383,242,181,18259.604
384,242,181,18312.368
385,242,181,18303.495
386,241,181,18349.117
387,241,181,18347.31
388,241,181,18361.276
389,241,181,18355.697
390,240,180,18462.969
391,240,180,18473.816
392,240,180,18499.623
393,240,180,18483.526
394,240,180,18508.062
395,240,180,18493.119
396,240,180,18486.747
397,240,180,18475.561
398,240,180,18506.379
399,240,180,18492.959
400,240,180,18496.509
401,240,180,18486.493
402,240,180,18488.553
403,240,180,18484.968
404,240,180,18421.87
405,240,180,18418.993
406,240,180,18444.104
407,240,180,18444.158
408,240,180,18438.243
409,240,180,18434.266
410,240,180,18433.389
411,240,180,18432.482
412,240,180,18403.681
413,240,180,18400.995
414,240,180,18388.964
415,240,180,18389.081
416,240,180,18390.385
417,240,180,18392.287
418,240,180,18390.496
419,240,180,18389.442
420,240,180,18381.392
421,240,180,18412.586
422,240,180,18415.107
423,240,180,18416.208
424,240,180,18413.604
425,240,180,18431.792
426,240,180,18439.853
427,240,180,18439.611
428,240,180,18416.68
429,240,180,18446.644
430,240,180,18455.578
431,240,180,18459.46
432,240,180,18444.748
433,240,180,18449.187
434,240,180,18451.403
435,240,180,18453.503
436,240,180,18383.717
437,240,180,18396.085
438,240,180,18357.914
439,240,180,18360.339
440,240,180,18305.103
441,240,180,18334.144
442,240,180,18347.935
443,240,180,18341.95
444,240,180,18285.193
445,240,180,18296.88
446,240,180,18261.772
447,240,180,18267.348
448,240,180,18162.22
449,240,180,18182.781
450,240,180,18113.93
451,240,180,18106.288
452,243,181,17973.12
453,243,181,17980.672
454,243,181,17937.367
455,243,181,17939.625
456,243,181,17900.728
457,243,181,17912.619
458,243,182,17898.167
459,243,182,17908.419
460,244,182,17876.212
461,244,181,17884.525
462,244,181,17884.907
463,244,181,17879.933
464,244,181,17879.735
465,244,181,17892.463
466,244,181,17909.079
467,244,181,17913.891
468,244,181,17910.818
